the_geom,name,distance_to_punggol,distance_to_yishun_east,distance_to_yishun_west
0101000020E6100000F71F990E9DF659401FD95C35CF91F43F,Fullerton Sq,15773.31011192,15551.72045952,16054.02343792
0101000020E61000002FFD4B5299F6594007D3307C448CF43F,OUE Bayfront,15921.38593623,15701.39308068,16202.46561998
0101000020E61000006C3D433866F65940F62345645885F43F,Prudential Twr,16227.45771733,15893.21165503,16379.1323347
0101000020E6100000471CB28174F65940A54E40136183F43F,Opp AIA Twr,16238.62207427,15944.13118855,16434.2642168
0101000020E6100000C921E2E654F6594035D252793B82F43F,Opp PWC Bldg,16351.05138729,15980.60031339,16461.42349165
0101000020E61000001F0E12A27CF65940D45FAFB0E07EF43F,One Raffles Quay,16329.74194836,16064.68474732,16557.17012447
0101000020E61000001878EE3D5CF65940F96A47718E7AF43F,Opp The Ogilvy Ctr,16522.05362534,16186.19234885,16669.25146804
0101000020E61000001DAD6A4947F65940EBA7FFACF971F43F,Aft Capital Twr,16790.88653551,16422.42377014,16899.51722483
0101000020E6100000B130444E5FF65940C2FA3F87F972F43F,UIC Bldg,16702.79629902,16390.20108511,16874.20631523
0101000020E6100000A9328CBB41F659408EAED2DD7576F43F,Opp GB Bldg,16694.42779651,16302.88434206,16778.27727837
0101000020E61000009A94826E2FF65940C8073D9B555FF43F,Bef Shenton Way,17317.45885661,16931.92878852,17402.64290977
0101000020E61000005B61FA5E43F65940A2D3F36E2C68F43F,Opp Temasek Twr,17044.98345607,16687.84331006,17163.99854524
0101000020E61000004B75012F33F659407E5358A9A062F43F,Opp MAS Bldg,17225.64564949,16841.97040794,17313.6557387
0101000020E61000002A58E36C3AF6594001F6D1A92B5FF43F,Aft Shenton Way,17292.64524917,16933.10661162,17406.92144635
0101000020E61000005C21ACC612F65940022D5DC13662F43F,Hub Synergy Pt,17322.78208055,16864.3151329,17326.80046158
0101000020E6100000613255302AF65940A08B868C4769F43F,Intl Plaza,17084.49962154,16665.42528873,17134.35408562
0101000020E6100000D5928E7230F659407097FDBAD35DF43F,Shenton Way Ter,17352.28091858,16972.26554645,17443.30738607
0101000020E61000005F5CAAD216F75940EEE87FB9166DF43F,Bef Marina Gdns Dr,16416.14391468,16562.30732304,17097.17926315
0101000020E61000005EBA490C02F75940BC3FDEAB5666F43F,Aft Marina Gdns Dr,16633.67314157,16738.18018577,17267.0266166
0101000020E61000002AAC545051F75940A06EA0C03B79F43F,Bef Gdns by the Bay,15982.356503,16259.25126063,16810.82539043
0101000020E61000003813D38558F759403315E2917879F43F,Aft Gdns by the Bay,15961.70242412,16256.53441395,16810.05419071
0101000020E61000000169FF03ACF759401233FB3C4679F43F,Marina Barrage,15808.59730514,16315.07415089,16890.38795602
0101000020E610000061E0B9F770F75940041C42959A7DF43F,Gdns by the Bay,15806.56444149,16158.95454834,16719.41249777
0101000020E610000035D4282499F6594064EAAEEC8281F43F,The Sail,16191.07471161,15991.76507014,16492.55866255
0101000020E6100000FBAE08FEB7F659403ACFD8976C7CF43F,Marina Bay Financial Ctr,16242.59125223,16129.75538141,16639.25880418
0101000020E6100000D6C9198A3BF759401329CDE67158F43F,Opp Marina Sth Pier,16871.80719716,17132.43484066,17675.34281841
0101000020E6100000D00CE2033BF759400A83328D2657F43F,Marina Sth Pier,16906.27363031,17167.09385697,17709.76153578
0101000020E610000099840B7904F7594074620FED6345F43F,Marina Bay Cruise Ctr,17474.05172155,17627.61334927,18155.10508829
0101000020E6100000FCE4284014F75940C8242367618FF43F,Marina Bay Sands Theatre,15545.88494671,15636.83426674,16173.61207087
0101000020E6100000BF47FDF50AF7594064CC5D4BC887F43F,Marina Bay Sands Hotel,15760.30925392,15838.7076728,16372.28080221
0101000020E6100000984D8061F9F6594001C3F2E7DB82F43F,Marina Bay Sands MICE,15925.51606551,15966.55330041,16494.84899649
0101000020E61000000A0F9A5DF7F65940C79DD2C1FA7FF43F,Opp Marina Bay Sands MICE,16003.327109,16043.72720392,16571.27340891
0101000020E6100000F69A1E1494F65940D50968226C78F43F,Downtown Stn,16431.76417993,16237.2804287,16736.44402419
0101000020E6100000CC7B9C69C2F65940E8F86871C670F43F,Marina Bay Stn,16511.96409951,16445.03689249,16957.04795593
0101000020E61000002CBCCB457CF659405A68E7340BB4F43F,Capitol Bldg,15013.18124536,14629.65261355,15122.42478992
0101000020E6100000ED48F59D5FF65940BBECD79DEEBCF43F,SMU,14877.81849789,14394.44207781,14877.96025808
0101000020E61000000A2E56D460F659403E5E488787B0F43F,Armenian Ch,15177.23180612,14728.85989044,15212.8732672
0101000020E61000003B376DC669F6594075AF93FAB2B4F43F,Stamford Ct,15049.5440651,14614.65533231,15101.51190301
0101000020E6100000917BBABA63F6594046B5882826AFF43F,Grand Pk City Hall,15202.75812578,14765.53784644,15250.48577229
0101000020E61000005114E81379F65940BC41B456B4B9F43F,Cath Of The Good Shepherd,14883.26434432,14477.25222899,14969.04100223
0101000020E6100000CE4F711C78F659400E10CCD1E3B7F43F,Aft Chijmes,14930.50409917,14526.35269356,15017.81934864
0101000020E61000003145B9347EF65940AE47E17A14AEF43F,St. Andrew's Cath,15154.52759791,14790.40988494,15283.74402337
0101000020E61000002619390B7BF659401D01DC2C5EACF43F,Opp Peninsula Plaza,15205.49018303,14836.98311257,15329.30788752
0101000020E6100000AD32535A7FF659406A4E5E6402BEF43F,NTUC Income Ctr,14759.88439619,14360.31472039,14854.16789108
0101000020E6100000AAF1D24D62F659404F5DF92CCFC3F43F,Manulife Ctr,14702.52921371,14208.31697714,14692.66270121
0101000020E610000007EA944737F65940014C1938A0A5F43F,Clarke Quay,15563.67605107,15033.93420272,15504.9334796
0101000020E6100000DA01D71533F65940A2EBC20FCEA7F43F,Opp Clarke Quay,15522.85346203,14976.57071237,15446.16661521
0101000020E610000031B1F9B836F65940C8EF6DFAB39FF43F,Clarke Quay Stn,15709.85378124,15193.82394202,15664.8293239
0101000020E6100000A2444B1E4FF659402C4833164DA7F43F,Old Hill St Police Stn,15453.85499991,14981.86746836,15460.37104615
0101000020E6100000A0DCB6EF51F659408A0453CDACA5F43F,High St Ctr,15485.62722389,15025.03802506,15504.45723353
0101000020E6100000996379573DF659408A3A730F099FF43F,Clarke Quay Stn,15707.1127843,15209.75751314,15682.85587694
0101000020E610000005C24EB16AF65940BD6F7CED99A5F43F,Opp The Treasury,15417.63254863,15021.94832726,15509.13065535
0101000020E61000002844C02154F6594001892650C4A2F43F,Opp High St Ctr,15550.70030512,15102.97239899,15583.12451095
0101000020E610000016DA39CD02F65940FF5A5EB9DEB6F43F,Aft River Valley Rd,15305.07983038,14590.89759394,15044.05665401
0101000020E61000007156444DF4F55940B1A71DFE9AACF43F,Shell HSE,15596.49404115,14874.70694825,15323.79457149
0101000020E61000005D4F745DF8F559402F1686C8E9ABF43F,Opp Shell HSE,15600.52167426,14891.18595761,15341.64741039
0101000020E6100000DDB1D82615F6594052280B5F5FABF43F,Liang Ct,15525.49197953,14891.97794402,15351.81460682
0101000020E610000037FDD98F14F65940D8800871E5ACF43F,Opp Liang Ct,15490.45723458,14851.18526505,15310.75202696
0101000020E61000007FA5F3E159F65940B03731242793F43F,Opp OCBC Ctr,15918.94710534,15522.97105182,16005.09172652
0101000020E61000005ABDC3EDD0F55940261DE5603681F43F,Pearl's Ctr,16751.19458053,16062.11847364,16503.33914853
0101000020E6100000E3E313B2F3F559404165FCFB8C8BF43F,People's Pk Cplx,16396.87981711,15764.72741723,16215.85287124
0101000020E6100000401361C3D3F55940128942CBBA7FF43F,Opp Pearl's Ctr,16778.69536023,16100.31206797,16542.51146751
0101000020E61000001F6ADB300AF6594024B891B24592F43F,People's Pk Ctr,16167.10777944,15572.98243533,16030.66324841
0101000020E610000016FA60191BF659403D62F4DC4297F43F,Opp Hong Lim Pk,15996.08707455,15431.39596366,15894.08498245
0101000020E610000086C77E164BF659405DFC6D4F9098F43F,Boat Quay,15826.78441211,15380.46365789,15857.97707234
0101000020E6100000529E7939ECF55940F9BA0CFFE986F43F,New Bridge Ctr,16531.66214158,15893.39376538,16342.52921
0101000020E61000007633A31F0DF6594060066344A290F43F,Chinatown Pt,16198.43068428,15615.82165654,16074.49504901
0101000020E6100000E3A59BC420F65940E9B81AD99596F43F,Hong Lim Pk,15996.08039483,15447.3880172,15911.86881481
0101000020E61000003B394371C7F55940BDA8DDAF027CF43F,Outram Pk Stn,16905.65258645,16207.75915998,16646.52374736
0101000020E610000055849B8C2AF659408237A4518193F43F,Hong Lim Pk,16043.17324634,15526.820455,15994.44566236
0101000020E61000002F8A1EF818F659407ADFF8DA338BF43F,Opp Hong Lim Cplx,16296.76838342,15757.21556296,16219.78266087
0101000020E610000088BB7A1519F659405BEF37DA7183F43F,Opp Sri Mariamman Tp,16486.50040177,15966.24292906,16429.18116812
0101000020E61000002FDE8FDB2FF6594010919A76318DF43F,Opp Hong Lim Cplx,16182.80673646,15695.1806266,16164.64576713
0101000020E61000009D6516A1D8F559400A86730D3374F43F,Bef The Pinnacle@Duxton,17044.7823711,16407.65559754,16852.18287844
0101000020E610000025EA059FE6F55940BF9B6ED9217EF43F,Opp Blk 333,16761.83778956,16132.7111373,16580.73450075
0101000020E6100000C18C2958E3F559400A3197546D77F43F,Aft Kreta Ayer Rd,16934.85536567,16314.91295713,16762.40708404
0101000020E61000005D8940F50FF659405C74B2D47A7FF43F,Maxwell Rd FC,16609.6476164,16076.78389994,16537.15916995
0101000020E61000004D69FD2D01F6594082531F48DE79F43F,Opp Fairfield Meth Ch,16789.25659345,16234.39737398,16690.63920554
0101000020E61000005C1D007157F6594038F6ECB94C8DF43F,OCBC Ctr,16070.21949269,15681.42692696,16162.87426328
0101000020E61000003BE12538F5F55940EEEE01BA2F67F43F,Tg Pagar Plaza,17281.66561273,16743.10214653,17196.85225293
0101000020E6100000645A9BC6F6F5594063B7CF2A3365F43F,The Amara,17326.18845683,16795.86914361,17250.17876251
0101000020E6100000B5183C4CFBF55940A857CA32C471F43F,Aft Craig Rd,17004.63620962,16455.31708398,16910.25596281
0101000020E6100000001AA54BFFF559400FBA84436F71F43F,Bef Wallich St,17001.48472079,16462.4172518,16918.54917425
0101000020E610000016325706D5F559402A745E639768F43F,Opp Maritime Hse,17338.64619594,16721.97566637,17166.27517053
0101000020E6100000DF516342CCF55940F9BEB854A56DF43F,Maritime Hse,17240.6416368,16591.08251376,17032.43449673
0101000020E610000074232C2AE2F559408A22A46E675FF43F,Opp Sth Pt,17526.46811439,16962.09523559,17410.81680433
0101000020E6100000AB92C83EC8F559400BB43BA41860F43F,Blk 16,17583.16585082,16957.84927478,17399.0619665
